"periodo";"nivel_general_aperturas";"indice_icc";"Clasificador"
"2022-07-01";"Vidrios";141.256138436355;"Ítems"
"2022-07-01";"Pintura";135.676523557776;"Ítems"
"2022-07-01";"Otros trabajos y gastos";132.804509419973;"Ítems"
"2022-08-01";"Movimiento de tierras";137.878212727687;"Ítems"
"2022-08-01";"Estructura";144.802398998583;"Ítems"
"2022-08-01";"Albanileria";140.480698729363;"Ítems"
"2022-08-01";"Yeseria";147.346360469921;"Ítems"
"2022-08-01";"Instalacion sanitaria y contraincendio";157.172037942127;"Ítems"
"2022-08-01";"Instalacion de gas";153.950846561564;"Ítems"
"2022-08-01";"Instalacion electrica";148.531743036159;"Ítems"
"2022-08-01";"Carpinteria metalica y herreria";162.62461138762;"Ítems"
"2022-08-01";"Carpinteria de madera";160.089896979374;"Ítems"
"2022-08-01";"Ascensores";144.473470630009;"Ítems"
"2022-08-01";"Vidrios";153.931522332216;"Ítems"
"2022-08-01";"Pintura";143.12147795271;"Ítems"
"2022-08-01";"Otros trabajos y gastos";139.938404212848;"Ítems"
"2022-09-01";"Movimiento de tierras";145.316031372457;"Ítems"
"2022-09-01";"Estructura";156.094474324938;"Ítems"
"2022-09-01";"Albanileria";152.930844163692;"Ítems"
"2022-09-01";"Yeseria";160.599799279769;"Ítems"
"2022-09-01";"Instalacion sanitaria y contraincendio";169.502402394952;"Ítems"
"2022-09-01";"Instalacion de gas";162.596754734374;"Ítems"
"2022-09-01";"Instalacion electrica";157.263908809542;"Ítems"
"2022-09-01";"Carpinteria metalica y herreria";164.707427787427;"Ítems"
"2022-09-01";"Carpinteria de madera";168.450753516044;"Ítems"
"2022-09-01";"Ascensores";149.632241046972;"Ítems"
"2022-09-01";"Vidrios";164.401940915114;"Ítems"
"2022-09-01";"Pintura";148.242607331668;"Ítems"
"2022-09-01";"Otros trabajos y gastos";151.823159255527;"Ítems"
"2022-10-01";"Movimiento de tierras";157.655358488142;"Ítems"
"2022-10-01";"Estructura";167.99799166403;"Ítems"
"2022-10-01";"Albanileria";164.825841383923;"Ítems"
"2022-10-01";"Yeseria";173.209752641832;"Ítems"
"2022-10-01";"Instalacion sanitaria y contraincendio";179.898446092904;"Ítems"
"2022-10-01";"Instalacion de gas";167.997397280701;"Ítems"
"2022-10-01";"Instalacion electrica";170.018683475504;"Ítems"
"2022-10-01";"Carpinteria metalica y herreria";175.912600528367;"Ítems"
"2022-10-01";"Carpinteria de madera";180.036746210547;"Ítems"
"2022-10-01";"Ascensores";160.736025159785;"Ítems"
"2022-10-01";"Vidrios";176.163379842544;"Ítems"
"2022-10-01";"Pintura";157.308429675245;"Ítems"
"2022-10-01";"Otros trabajos y gastos";162.471245793806;"Ítems"
"2022-11-01";"Movimiento de tierras";170.999164880601;"Ítems"
"2022-11-01";"Estructura";179.171767748325;"Ítems"
"2022-11-01";"Albanileria";176.147158591906;"Ítems"
"2022-11-01";"Yeseria";183.957140327056;"Ítems"
"2022-11-01";"Instalacion sanitaria y contraincendio";192.514120789606;"Ítems"
"2022-11-01";"Instalacion de gas";177.36312000976;"Ítems"
"2022-11-01";"Instalacion electrica";185.846795500868;"Ítems"
"2022-11-01";"Carpinteria metalica y herreria";183.093719440106;"Ítems"
"2022-11-01";"Carpinteria de madera";189.303134364269;"Ítems"
"2022-11-01";"Ascensores";171.489804200061;"Ítems"
"2022-11-01";"Vidrios";193.632590225271;"Ítems"
"2022-11-01";"Pintura";167.419973276012;"Ítems"
"2022-11-01";"Otros trabajos y gastos";173.003364955039;"Ítems"
"2022-12-01";"Movimiento de tierras";175.546769606326;"Ítems"
"2022-12-01";"Estructura";185.891439811822;"Ítems"
"2022-12-01";"Albanileria";182.79765693613;"Ítems"
